record_id,order_id,payment_id,customer_id,amount_inr,amount_paise,currency,created_at,status,narration,ground_truth_label
led_1016,order_RZP1016,pay_live_1016886,cust_924,24900.0,2490000,INR,2026-08-11 16:00:00,CAPTURED,PG Capture CloudScale Retail Ref: order_RZP1016,CLEAN
led_1052,order_ANOM_1052,pay_anom_1052588,cust_971,7800.0,780000,INR,2026-08-19 11:00:00,CAPTURED,PG Capture BlueSky Health [DROPPED IN TRANSIT],MISSING_COUNTERPART
led_1047,order_RZP1047,pay_live_1047767,cust_270,11000.0,1100000,INR,2026-08-15 10:00:00,CAPTURED,PG Capture TechNova Solutions Ref: order_RZP1047,CLEAN
led_1031,order_RZP1031,pay_live_1031119,cust_345,38650.0,3865000,INR,2026-08-13 22:00:00,CAPTURED,PG Capture Zenith Logistics Ref: order_RZP1031,CLEAN
led_1055,order_ANOM_1055,pay_anom_1055773,cust_833,28700.0,2870000,USD,2026-08-14 20:00:00,CAPTURED,International Payment USD 500 via Razorpay,CURRENCY_MISMATCH
led_1013,order_RZP1013,pay_live_1013786,cust_763,73399.0,7339900,INR,2026-08-11 13:00:00,CAPTURED,PG Capture Starlight Commerce Ref: order_RZP1013,CLEAN
led_1012,order_RZP1012,pay_live_1012384,cust_266,66550.0,6655000,INR,2026-08-10 17:00:00,CAPTURED,PG Capture Quantum Softwares Ref: order_RZP1012,CLEAN
led_1060,order_ANOM_1060,pay_anom_1060820,cust_936,56100.0,5610000,INR,2026-08-11 20:00:00,CAPTURED,PG Capture Prism Infotech Order order_ANOM_1060,AMOUNT_MISMATCH
led_1011,order_RZP1011,pay_live_1011396,cust_489,25300.0,2530000,INR,2026-08-10 17:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1011,CLEAN
led_1053,order_ANOM_1053,pay_anom_1053290,cust_513,8900.0,890000,INR,2026-08-21 13:00:00,CAPTURED,High Value PG Capture Aura Enterprises Order order_ANOM_1053,PARTIAL_SETTLEMENT
led_1029,order_RZP1029,pay_live_1029754,cust_880,17150.0,1715000,INR,2026-08-13 22:00:00,CAPTURED,PG Capture OmniVenture India Ref: order_RZP1029,CLEAN
led_1051,order_RZP1051,pay_live_1051853,cust_151,33600.0,3360000,INR,2026-08-16 19:00:00,CAPTURED,PG Capture CloudScale Retail Ref: order_RZP1051,CLEAN
led_1050,order_RZP1050,pay_live_1050533,cust_403,17300.0,1730000,INR,2026-08-15 17:00:00,CAPTURED,PG Capture Titanium Supply Ref: order_RZP1050,CLEAN
